ts,phase,amps_A,vbus_V,vshunt_V,amps_raw_A,sign_factor
1759596985.291,idle1,0.552200,5.116,-5.522000e-02,-0.552200,-1
1759596985.391,idle1,0.547500,5.124,-5.475000e-02,-0.547500,-1
1759596985.491,idle1,0.557300,5.120,-5.573000e-02,-0.557300,-1
1759596985.591,idle1,0.546100,5.132,-5.461000e-02,-0.546100,-1
1759596985.691,idle1,0.553000,5.132,-5.530000e-02,-0.553000,-1
1759596985.791,idle1,0.578100,5.116,-5.781000e-02,-0.578100,-1
1759596985.891,idle1,0.549300,5.128,-5.493000e-02,-0.549300,-1
1759596985.991,idle1,0.547200,5.132,-5.472000e-02,-0.547200,-1
1759596986.091,idle1,0.540400,5.128,-5.404000e-02,-0.540400,-1
1759596986.191,idle1,0.596300,5.116,-5.963000e-02,-0.596300,-1
1759596986.291,idle1,0.553900,5.132,-5.539000e-02,-0.553900,-1
1759596986.391,idle1,0.580900,5.124,-5.809000e-02,-0.580900,-1
1759596986.492,idle1,0.558300,5.124,-5.583000e-02,-0.558300,-1
1759596986.592,idle1,0.539500,5.136,-5.395000e-02,-0.539500,-1
1759596986.692,idle1,0.532800,5.132,-5.328000e-02,-0.532800,-1
1759596986.792,idle1,0.552100,5.124,-5.521000e-02,-0.552100,-1
1759596986.892,idle1,0.561600,5.120,-5.616000e-02,-0.561600,-1
1759596986.992,idle1,0.576800,5.128,-5.768000e-02,-0.576800,-1
1759596987.092,idle1,0.582000,5.120,-5.820000e-02,-0.582000,-1
1759596987.192,idle1,0.563800,5.120,-5.638000e-02,-0.563800,-1
1759596987.292,idle1,0.567800,5.132,-5.678000e-02,-0.567800,-1
1759596987.394,idle1,0.455900,5.128,-4.559000e-02,-0.455900,-1
1759596987.494,idle1,0.446000,5.132,-4.460000e-02,-0.446000,-1
1759596987.594,idle1,0.515600,5.128,-5.156000e-02,-0.515600,-1
1759596987.694,idle1,0.577800,5.128,-5.778000e-02,-0.577800,-1
1759596987.794,idle1,0.546400,5.116,-5.464000e-02,-0.546400,-1
1759596987.894,idle1,0.451700,5.128,-4.517000e-02,-0.451700,-1
1759596987.994,idle1,0.456600,5.128,-4.566000e-02,-0.456600,-1
1759596988.095,idle1,0.462200,5.140,-4.622000e-02,-0.462200,-1
