pass,suite,traffic_mode,pre_gap_s,inter_gap_s,duration_s,sent,rcvd,pps,target_rate_pps,target_bandwidth_mbps,throughput_mbps,sent_mbps,delivered_ratio,goodput_mbps,wire_throughput_mbps_est,app_packet_bytes,wire_packet_bytes_est,cpu_max_percent,max_rss_bytes,pfc_watts,kinematics_vh,kinematics_vv,goodput_ratio,rtt_avg_ms,rtt_max_ms,rtt_p50_ms,rtt_p95_ms,owd_p50_ms,owd_p95_ms,rtt_samples,owd_samples,sample_every,min_delay_samples,sample_quality,loss_pct,loss_pct_wilson_low,loss_pct_wilson_high,enc_out,enc_in,drops,rekeys_ok,rekeys_fail,start_ns,end_ns,scheduled_mark_ns,rekey_mark_ns,rekey_ok_ns,rekey_ms,rekey_energy_mJ,rekey_energy_error,power_request_ok,power_capture_ok,power_note,power_error,power_avg_w,power_energy_j,power_samples,power_avg_current_a,power_avg_voltage_v,power_sample_rate_hz,power_duration_s,power_csv_path,power_summary_path,blackout_ms,gap_max_ms,gap_p99_ms,steady_gap_ms,recv_rate_kpps_before,recv_rate_kpps_after,proc_ns_p95,pair_start_ns,pair_end_ns,blackout_error,timing_guard_ms,timing_guard_violation,kem_keygen_ms,kem_encaps_ms,kem_decap_ms,sig_sign_ms,sig_verify_ms,primitive_total_ms,pub_key_size_bytes,ciphertext_size_bytes,sig_size_bytes,shared_secret_size_bytes,kem_keygen_mJ,kem_encaps_mJ,kem_decap_mJ,sig_sign_mJ,sig_verify_mJ,handshake_role,handshake_total_ms,handshake_wall_start_ns,handshake_wall_end_ns,handshake_kem_keygen_us,handshake_kem_encap_us,handshake_kem_decap_us,handshake_sig_sign_us,handshake_sig_verify_us,handshake_kdf_server_us,handshake_kdf_client_us,handshake_kem_pub_bytes,handshake_kem_ct_bytes,handshake_sig_bytes,handshake_auth_tag_bytes,handshake_shared_secret_bytes,handshake_server_hello_bytes,handshake_challenge_bytes,handshake_energy_mJ,handshake_energy_error
0,cs-mlkem768-aesgcm-mldsa65,constant,1.0,15.0,45.269,27802,27802,614.2,3906,8.0,1.258,1.258,1.0,1.258,1.454,268,296,0.0,0,0.0,0.0,0.0,1.0,6.662,72.102,4.26,20.655,1.989,7.564,27802,572,100,30,ok,0.0,0.0,0.014,28435,28435,0,0,0,1760023557243658900,1760023602512505900,1760023557024783531,,,1946.902,0.0,,True,True,ok,,3.32958,149.831687,45000,0.68406,4.869348,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem768-aesgcm-mldsa65_20251009-152556.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem768-aesgcm-mldsa65_20251009-152556.json,,,,,,,,,,session_dir_unavailable,56269,False,1.9501,0.0,0.1427,1.1931,0.0,3.2859,1184,1088,3309,32,0.0,0.0,0.0,0.0,0.0,gcs,19.741,1760023553811571800,1760023553831190600,1950.1,0.0,142.7,1193.1,0.0,2325.1,0.0,1184,1088,3309,32,32,4539,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem768-aesgcm-mldsa65_20251009-152556.csv
0,cs-mlkem512-aesgcm-mldsa44,constant,1.0,15.0,45.272,27772,27771,613.5,3906,8.0,1.256,1.256,1.0,1.256,1.453,268,296,0.0,0,0.0,0.0,0.0,1.0,7.652,72.785,3.867,36.486,18.396,42.92,27771,2183,100,30,ok,0.004,0.001,0.02,56537,56533,0,1,0,1760023626534458700,1760023671806309600,1760023626285439631,1760023617629070800,1760023622163273100,6622.437,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-mldsa44_20251009-152706.csv,True,True,ok,,3.321436,149.465397,45000,0.682298,4.870103,999.995,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-mldsa44_20251009-152706.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-mldsa44_20251009-152706.json,,,,,,,,,,session_dir_unavailable,56272,False,2.0474,0.0,0.1027,5.5808,0.0,7.7309,800,768,2420,32,0.0,0.0,0.0,0.0,0.0,gcs,15.801,1760023618705246700,1760023618720896900,2047.4,0.0,102.7,5580.8,0.0,48.2,0.0,800,768,2420,32,32,3266,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-mldsa44_20251009-152706.csv
0,cs-mlkem512-aesgcm-falcon512,constant,1.0,15.0,45.262,28363,28363,626.6,3906,8.0,1.283,1.283,1.0,1.283,1.484,268,296,0.0,0,0.0,0.0,0.0,1.0,6.596,101.987,4.758,23.199,1.701,16.943,28363,511,100,30,ok,0.0,0.0,0.014,85847,85844,0,2,0,1760023692709648000,1760023737971059200,1760023692482196331,1760023686955569500,1760023688435477700,3529.902,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-falcon512_20251009-152812.csv,True,True,ok,,3.35146,150.81633,45000,0.688547,4.869507,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-falcon512_20251009-152812.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-falcon512_20251009-152812.json,,,,,,,,,,session_dir_unavailable,56262,False,0.2427,0.0,0.0517,3.2493,0.0,3.5437,800,768,657,32,0.0,0.0,0.0,0.0,0.0,gcs,6.791,1760023688049042700,1760023688055301500,242.7,0.0,51.7,3249.3,0.0,48.3,0.0,800,768,657,32,32,1504,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-falcon512_20251009-152812.csv
0,cs-mlkem512-aesgcm-sphincs128fsha2,constant,1.0,15.0,45.263,28232,28232,623.7,3906,8.0,1.277,1.277,1.0,1.277,1.477,268,296,0.0,0,0.0,0.0,0.0,1.0,9.551,93.893,6.708,29.549,2.814,19.212,28232,662,100,30,ok,0.0,0.0,0.014,114302,114295,0,3,0,1760023759256175800,1760023804518133700,1760023758927434331,1760023753102686700,1760023754800751900,3831.25,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-sphincs128fsha2_20251009-152918.csv,True,True,ok,,3.335991,150.120181,45000,0.685388,4.869372,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-sphincs128fsha2_20251009-152918.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-sphincs128fsha2_20251009-152918.json,,,,,,,,,,session_dir_unavailable,56263,False,0.3183,0.0,0.1054,26.7447,0.0,27.1684,800,768,17088,32,0.0,0.0,0.0,0.0,0.0,gcs,109.335,1760023753217516000,1760023753326548000,318.3,0.0,105.4,26744.7,0.0,75.3,0.0,800,768,17088,32,32,17950,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem512-aesgcm-sphincs128fsha2_20251009-152918.csv
0,cs-frodokem640aes-aesgcm-mldsa44,constant,1.0,15.0,45.257,28247,28247,624.1,3906,8.0,1.278,1.278,1.0,1.278,1.478,268,296,0.0,0,0.0,0.0,0.0,1.0,5.029,64.891,3.253,19.898,1.627,9.939,28247,613,100,30,ok,0.0,0.0,0.014,143441,143435,0,4,0,1760023825509082000,1760023870765529800,1760023825238649031,1760023819557464600,1760023821158062700,3623.379,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem640aes-aesgcm-mldsa44_20251009-153025.csv,True,True,ok,,3.363956,151.37864,45000,0.691429,4.867197,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem640aes-aesgcm-mldsa44_20251009-153025.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem640aes-aesgcm-mldsa44_20251009-153025.json,,,,,,,,,,session_dir_unavailable,56257,False,1.4679,0.0,0.6579,0.5388,0.0,2.6646,9616,9720,2420,16,0.0,0.0,0.0,0.0,0.0,gcs,30.544,1760023820591631800,1760023820622273400,1467.9,0.0,657.9,538.8,0.0,50.8,0.0,9616,9720,2420,32,16,12088,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem640aes-aesgcm-mldsa44_20251009-153025.csv
0,cs-classicmceliece348864-aesgcm-sphincs128fsha2,constant,1.0,15.0,45.257,28438,28438,628.4,3906,8.0,1.287,1.287,1.0,1.287,1.488,268,296,0.0,0,0.0,0.0,0.0,1.0,4.266,61.749,2.625,12.439,1.128,16.288,28438,574,100,30,ok,0.0,0.0,0.014,172670,172664,0,5,0,1760023891819705300,1760023937076064300,1760023891580172031,1760023885818219900,1760023887513074000,3730.461,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece348864-aesgcm-sphincs128fsha2_20251009-153131.csv,True,True,ok,,3.371098,151.700022,45000,0.693139,4.865437,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece348864-aesgcm-sphincs128fsha2_20251009-153131.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece348864-aesgcm-sphincs128fsha2_20251009-153131.json,,,,,,,,,,session_dir_unavailable,56257,False,63.3124,0.0,14.1929,26.0237,0.0,103.529,261120,96,17088,32,0.0,0.0,0.0,0.0,0.0,gcs,271.791,1760023886866397600,1760023887138399300,63312.4,0.0,14192.9,26023.7,0.0,69.6,0.0,261120,96,17088,32,32,278283,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece348864-aesgcm-sphincs128fsha2_20251009-153131.csv
0,cs-hqc128-aesgcm-falcon512,constant,1.0,15.0,45.269,28187,28187,622.7,3906,8.0,1.275,1.275,1.0,1.275,1.474,268,296,0.0,0,0.0,0.0,0.0,1.0,6.285,79.228,4.396,20.084,1.98,21.384,28187,1664,100,30,ok,0.0,0.0,0.014,201244,201231,0,6,0,1760023958121681700,1760024003390650300,1760023957860170831,1760023952130527800,1760023953836128900,3681.692,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc128-aesgcm-falcon512_20251009-153237.csv,True,True,ok,,3.35922,151.165501,45000,0.690538,4.866674,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc128-aesgcm-falcon512_20251009-153237.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc128-aesgcm-falcon512_20251009-153237.json,,,,,,,,,,session_dir_unavailable,56269,False,6.3299,0.0,21.3776,0.4201,0.0,28.1276,2249,4433,660,64,0.0,0.0,0.0,0.0,0.0,gcs,86.006,1760023952242254700,1760023952327854500,6329.9,0.0,21377.6,420.1,0.0,52.5,0.0,2249,4433,660,32,64,2953,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc128-aesgcm-falcon512_20251009-153237.csv
0,cs-frodokem976aes-aesgcm-mldsa65,constant,1.0,15.0,45.257,28172,28172,622.5,3906,8.0,1.275,1.275,1.0,1.275,1.474,268,296,0.0,0,0.0,0.0,0.0,1.0,5.92,63.426,4.1,18.205,1.37,13.067,28172,1524,100,30,ok,0.0,0.0,0.014,230271,230262,0,7,0,1760024024494004200,1760024069751174300,1760024024260035931,1760024018460261800,1760024020231254100,3758.744,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem976aes-aesgcm-mldsa65_20251009-153344.csv,True,True,ok,,3.361091,151.249736,45000,0.690784,4.867585,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem976aes-aesgcm-mldsa65_20251009-153344.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem976aes-aesgcm-mldsa65_20251009-153344.json,,,,,,,,,,session_dir_unavailable,56257,False,0.753,0.0,0.7696,0.3023,0.0,1.8249,15632,15744,3309,24,0.0,0.0,0.0,0.0,0.0,gcs,58.284,1760024018544774700,1760024018602390200,753.0,0.0,769.6,302.3,0.0,44.5,0.0,15632,15744,3309,32,24,18993,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-frodokem976aes-aesgcm-mldsa65_20251009-153344.csv
0,cs-classicmceliece460896-aesgcm-mldsa65,constant,1.0,15.0,45.265,27837,27837,615.0,3906,8.0,1.259,1.259,1.0,1.259,1.456,268,296,0.0,0,0.0,0.0,0.0,1.0,5.0,78.912,3.143,16.27,1.038,5.882,27837,1365,100,30,ok,0.0,0.0,0.014,258353,258342,0,8,0,1760024090839629100,1760024136104114200,1760024090605656931,1760024084828608300,1760024086576163000,3737.974,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece460896-aesgcm-mldsa65_20251009-153450.csv,True,True,ok,,3.35612,151.026001,45000,0.689773,4.867529,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece460896-aesgcm-mldsa65_20251009-153450.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece460896-aesgcm-mldsa65_20251009-153450.json,,,,,,,,,,session_dir_unavailable,56265,False,364.8442,0.0,35.7163,2.1601,0.0,402.7206,524160,156,3309,32,0.0,0.0,0.0,0.0,0.0,gcs,565.422,1760024084906478300,1760024085471245200,364844.2,0.0,35716.3,2160.1,0.0,63.9,0.0,524160,156,3309,32,32,527528,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-classicmceliece460896-aesgcm-mldsa65_20251009-153450.csv
0,cs-hqc192-aesgcm-mldsa65,constant,1.0,15.0,45.254,28544,28544,630.8,3906,8.0,1.292,1.292,1.0,1.292,1.494,268,296,0.0,0,0.0,0.0,0.0,1.0,5.044,58.841,3.277,19.229,1.189,7.486,28544,2227,100,30,ok,0.0,0.0,0.013,287681,287670,1,9,0,1760024157255102200,1760024202508548800,1760024157002264731,1760024151193805600,1760024152952657800,3769.392,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc192-aesgcm-mldsa65_20251009-153556.csv,True,True,ok,,3.348156,150.667629,45000,0.68808,4.867862,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc192-aesgcm-mldsa65_20251009-153556.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc192-aesgcm-mldsa65_20251009-153556.json,,,,,,,,,,session_dir_unavailable,56254,False,15.391,0.0,43.9471,1.0492,0.0,60.3873,4522,8978,3309,64,0.0,0.0,0.0,0.0,0.0,gcs,209.515,1760024151260176200,1760024151469282700,15391.0,0.0,43947.1,1049.2,0.0,61.2,0.0,4522,8978,3309,32,64,7874,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-hqc192-aesgcm-mldsa65_20251009-153556.csv
0,cs-mlkem1024-aesgcm-mldsa87,constant,1.0,15.0,45.262,28356,28355,626.5,3906,8.0,1.283,1.283,1.0,1.283,1.483,268,296,0.0,0,0.0,0.0,0.0,1.0,5.683,77.96,3.481,19.701,1.804,6.709,28355,3782,100,30,ok,0.004,0.001,0.02,316926,316914,1,10,0,1760024223579991300,1760024268841994400,1760024223355969731,1760024217653764500,1760024219312586400,3654.82,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem1024-aesgcm-mldsa87_20251009-153703.csv,True,True,ok,,3.35997,151.199233,45000,0.690494,4.868047,999.996,45.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem1024-aesgcm-mldsa87_20251009-153703.csv,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem1024-aesgcm-mldsa87_20251009-153703.json,,,,,,,,,,session_dir_unavailable,56262,False,2.5044,0.0,0.1383,10.3457,0.0,12.9884,1568,1568,4627,32,0.0,0.0,0.0,0.0,0.0,gcs,21.016,1760024217677751800,1760024217698853100,2504.4,0.0,138.3,10345.7,0.0,48.4,0.0,1568,1568,4627,32,32,6242,8,0.0,/home/dev/research/output/drone/run_1760023550/power/power_cs-mlkem1024-aesgcm-mldsa87_20251009-153703.csv
