recv_timestamp_ns,send_timestamp_ns,processing_ns,processing_ms,sequence
1759238255997510301,1759238255997526023,15722,0.015722,0
1759238256075351301,1759238256075355153,3852,0.003852,100
1759238256136794284,1759238256136798117,3833,0.003833,200
1759238256200667978,1759238256200707089,39111,0.039111,300
1759238256267127959,1759238256267130977,3018,0.003018,400
1759238256323233924,1759238256323241405,7481,0.007481,500
1759238256390827093,1759238256390830056,2963,0.002963,600
1759238256458878579,1759238256458881616,3037,0.003037,700
1759238256528847609,1759238256528851109,3500,0.003500,800
1759238256607400963,1759238256607403778,2815,0.002815,900
1759238256688895364,1759238256688898957,3593,0.003593,1000
1759238256759161876,1759238256759164876,3000,0.003000,1100
1759238256825261356,1759238256825265633,4277,0.004277,1200
1759238256904751194,1759238256904754398,3204,0.003204,1300
1759238256971961918,1759238256971965344,3426,0.003426,1400
1759238257050843700,1759238257050846755,3055,0.003055,1500
1759238257120542209,1759238257120546209,4000,0.004000,1600
1759238257191036222,1759238257191039000,2778,0.002778,1700
1759238257251649646,1759238257251652979,3333,0.003333,1800
1759238257315612525,1759238257315615340,2815,0.002815,1900
1759238257384999701,1759238257385002923,3222,0.003222,2000
1759238257453217984,1759238257453220891,2907,0.002907,2100
1759238257521844471,1759238257521847545,3074,0.003074,2200
1759238257602309813,1759238257602312869,3056,0.003056,2300
1759238257665298764,1759238257665301634,2870,0.002870,2400
1759238257729688756,1759238257729691811,3055,0.003055,2500
1759238257805940621,1759238257805944750,4129,0.004129,2600
1759238257869083461,1759238257869087516,4055,0.004055,2700
1759238257936887409,1759238257936890705,3296,0.003296,2800
1759238258013040088,1759238258013044995,4907,0.004907,2900
1759238258075589815,1759238258075592852,3037,0.003037,3000
1759238258150714009,1759238258150717935,3926,0.003926,3100
1759238258219013384,1759238258219016755,3371,0.003371,3200
1759238258286113793,1759238258286116848,3055,0.003055,3300
1759238258357085658,1759238258357088566,2908,0.002908,3400
1759238258421307539,1759238258421310464,2925,0.002925,3500
1759238258500505746,1759238258500509117,3371,0.003371,3600
1759238258571399278,1759238258571401612,2334,0.002334,3700
1759238258634158821,1759238258634162006,3185,0.003185,3800
1759238258714073364,1759238258714076809,3445,0.003445,3900
1759238258782227054,1759238258782230258,3204,0.003204,4000
1759238258862442506,1759238258862446321,3815,0.003815,4100
1759238258938467814,1759238258938470666,2852,0.002852,4200
1759238259007680044,1759238259007683730,3686,0.003686,4300
1759238259073833986,1759238259073837487,3501,0.003501,4400
1759238259140962135,1759238259140966098,3963,0.003963,4500
1759238259213497043,1759238259213500173,3130,0.003130,4600
1759238259284250186,1759238259284254019,3833,0.003833,4700
1759238259351541020,1759238259351544669,3649,0.003649,4800
1759238259420170156,1759238259420174286,4130,0.004130,4900
1759238259490346852,1759238259490349797,2945,0.002945,5000
1759238259568122851,1759238259568125981,3130,0.003130,5100
1759238259649360362,1759238259649363584,3222,0.003222,5200
1759238259732055155,1759238259732059026,3871,0.003871,5300
1759238259830541890,1759238259830544983,3093,0.003093,5400
1759238259906893514,1759238259906896996,3482,0.003482,5500
1759238259991654888,1759238259991665240,10352,0.010352,5600
1759238260069826944,1759238260069829870,2926,0.002926,5700
1759238260169700350,1759238260169703850,3500,0.003500,5800
1759238260270005072,1759238260270008868,3796,0.003796,5900
1759238260348419147,1759238260348422055,2908,0.002908,6000
1759238260425131791,1759238260425135846,4055,0.004055,6100
1759238260506783543,1759238260506786673,3130,0.003130,6200
1759238260582890407,1759238260582893370,2963,0.002963,6300
1759238260664513030,1759238260664515271,2241,0.002241,6400
1759238260737988348,1759238260737991552,3204,0.003204,6500
1759238260828356130,1759238260828364444,8314,0.008314,6600
1759238260918512318,1759238260918515281,2963,0.002963,6700
1759238260998122490,1759238260998125378,2888,0.002888,6800
1759238261074070982,1759238261074074038,3056,0.003056,6900
1759238261143385286,1759238261143388527,3241,0.003241,7000
1759238261206581977,1759238261206584885,2908,0.002908,7100
1759238261274842296,1759238261274845537,3241,0.003241,7200
1759238261347482537,1759238261347485797,3260,0.003260,7300
1759238261438729914,1759238261438733377,3463,0.003463,7400
1759238261515593854,1759238261515597040,3186,0.003186,7500
1759238261591276772,1759238261591280031,3259,0.003259,7600
1759238261671321538,1759238261671325019,3481,0.003481,7700
1759238261750139892,1759238261750143651,3759,0.003759,7800
1759238261835278211,1759238261835281600,3389,0.003389,7900
1759238261916085942,1759238261916089164,3222,0.003222,8000
1759238261995665577,1759238261995668706,3129,0.003129,8100
1759238262064669120,1759238262064672009,2889,0.002889,8200
1759238262131579009,1759238262131581860,2851,0.002851,8300
1759238262195515295,1759238262195518165,2870,0.002870,8400
1759238262264915358,1759238262264918173,2815,0.002815,8500
1759238262346273128,1759238262346276146,3018,0.003018,8600
1759238262421128857,1759238262421131802,2945,0.002945,8700
1759238262498301372,1759238262498304669,3297,0.003297,8800
1759238262572719656,1759238262572723156,3500,0.003500,8900
1759238262659017646,1759238262659020627,2981,0.002981,9000
1759238262741654846,1759238262741657957,3111,0.003111,9100
1759238262812153357,1759238262812156061,2704,0.002704,9200
1759238262893332182,1759238262893335385,3203,0.003203,9300
1759238262964118787,1759238262964124898,6111,0.006111,9400
1759238263042709658,1759238263042712584,2926,0.002926,9500
1759238263116154846,1759238263116157975,3129,0.003129,9600
1759238263188138917,1759238263188142640,3723,0.003723,9700
1759238263261612124,1759238263261614920,2796,0.002796,9800
1759238263336078963,1759238263336082352,3389,0.003389,9900
1759238263402626350,1759238263402629091,2741,0.002741,10000
1759238263473380473,1759238263473383418,2945,0.002945,10100
1759238263542077738,1759238263542079978,2240,0.002240,10200
1759238263619474401,1759238263619478716,4315,0.004315,10300
1759238263681628552,1759238263681631774,3222,0.003222,10400
1759238263758104175,1759238263758107064,2889,0.002889,10500
1759238263828878910,1759238263828881558,2648,0.002648,10600
1759238263914985565,1759238263914988362,2797,0.002797,10700
1759238263991592782,1759238263991597300,4518,0.004518,10800
1759238264064874506,1759238264064877358,2852,0.002852,10900
1759238264141910705,1759238264141913242,2537,0.002537,11000
1759238264206339233,1759238264206342437,3204,0.003204,11100
1759238264285490903,1759238264285493717,2814,0.002814,11200
1759238264359381406,1759238264359384258,2852,0.002852,11300
1759238264423605489,1759238264423608415,2926,0.002926,11400
1759238264509332254,1759238264509335162,2908,0.002908,11500
1759238264599634886,1759238264599638090,3204,0.003204,11600
1759238264666784905,1759238264666788016,3111,0.003111,11700
1759238264730892913,1759238264730895561,2648,0.002648,11800
1759238264798213469,1759238264798216766,3297,0.003297,11900
1759238264878942977,1759238264878946459,3482,0.003482,12000
1759238264961150638,1759238264961153731,3093,0.003093,12100
1759238265046862422,1759238265046865866,3444,0.003444,12200
1759238265121546409,1759238265121549520,3111,0.003111,12300
1759238265196681676,1759238265196684491,2815,0.002815,12400
1759238265260775147,1759238265260778536,3389,0.003389,12500
1759238265329340726,1759238265329343874,3148,0.003148,12600
1759238265401935188,1759238265401938836,3648,0.003648,12700
1759238265466280530,1759238265466283716,3186,0.003186,12800
1759238265540540017,1759238265540542924,2907,0.002907,12900
1759238265609264947,1759238265609268077,3130,0.003130,13000
1759238265672295637,1759238265672298656,3019,0.003019,13100
1759238265738471671,1759238265738474652,2981,0.002981,13200
1759238265804760631,1759238265804763686,3055,0.003055,13300
1759238265878480300,1759238265878483393,3093,0.003093,13400
1759238265974431118,1759238265974434581,3463,0.003463,13500
1759238266043017085,1759238266043019585,2500,0.002500,13600
1759238266124865115,1759238266124867874,2759,0.002759,13700
1759238266197136427,1759238266197139464,3037,0.003037,13800
1759238266270914393,1759238266270917319,2926,0.002926,13900
1759238266362064305,1759238266362067805,3500,0.003500,14000
1759238266445606711,1759238266445610118,3407,0.003407,14100
1759238266521366776,1759238266521369832,3056,0.003056,14200
1759238266593565478,1759238266593568218,2740,0.002740,14300
1759238266673067962,1759238266673073351,5389,0.005389,14400
1759238266752202131,1759238266752205094,2963,0.002963,14500
1759238266842726263,1759238266842729856,3593,0.003593,14600
1759238266935595237,1759238266935601311,6074,0.006074,14700
1759238267007021954,1759238267007026306,4352,0.004352,14800
1759238267074993123,1759238267074996067,2944,0.002944,14900
1759238267145390448,1759238267145394318,3870,0.003870,15000
1759238267211819000,1759238267211821945,2945,0.002945,15100
1759238267279979374,1759238267279982559,3185,0.003185,15200
1759238267355197270,1759238267355200140,2870,0.002870,15300
1759238267423774904,1759238267423777274,2370,0.002370,15400
1759238267496613570,1759238267496616774,3204,0.003204,15500
1759238267572088986,1759238267572092893,3907,0.003907,15600
1759238267637816869,1759238267637819758,2889,0.002889,15700
1759238267710390331,1759238267710393627,3296,0.003296,15800
1759238267778518204,1759238267778521334,3130,0.003130,15900
1759238267858491320,1759238267858494561,3241,0.003241,16000
1759238267928540366,1759238267928543884,3518,0.003518,16100
1759238268005407082,1759238268005410342,3260,0.003260,16200
1759238268071103077,1759238268071106003,2926,0.002926,16300
1759238268138109131,1759238268138115390,6259,0.006259,16400
1759238268205942670,1759238268205945688,3018,0.003018,16500
1759238268282332607,1759238268282335607,3000,0.003000,16600
1759238268372378718,1759238268372381866,3148,0.003148,16700
1759238268441234742,1759238268441237649,2907,0.002907,16800
1759238268537641652,1759238268537644300,2648,0.002648,16900
1759238268608995536,1759238268609000350,4814,0.004814,17000
1759238268687639147,1759238268687642313,3166,0.003166,17100
1759238268771495405,1759238268771498738,3333,0.003333,17200
1759238268838638052,1759238268838641848,3796,0.003796,17300
1759238268911321125,1759238268911323866,2741,0.002741,17400
1759238268985635481,1759238268985638555,3074,0.003074,17500
1759238269044376582,1759238269044379730,3148,0.003148,17600
1759238269108637275,1759238269108640627,3352,0.003352,17700
1759238269175053327,1759238269175056105,2778,0.002778,17800
1759238269246653785,1759238269246656656,2871,0.002871,17900
1759238269313827414,1759238269313830803,3389,0.003389,18000
1759238269380985876,1759238269380988321,2445,0.002445,18100
1759238269439005049,1759238269439008475,3426,0.003426,18200
1759238269503261464,1759238269503264649,3185,0.003185,18300
1759238269568192919,1759238269568195660,2741,0.002741,18400
1759238269627118539,1759238269627121539,3000,0.003000,18500
1759238269704975906,1759238269704980721,4815,0.004815,18600
1759238269763540822,1759238269763543988,3166,0.003166,18700
1759238269832599123,1759238269832602549,3426,0.003426,18800
1759238269902669873,1759238269902672817,2944,0.002944,18900
1759238269966758621,1759238269966761769,3148,0.003148,19000
1759238270032215447,1759238270032218540,3093,0.003093,19100
1759238270095761971,1759238270095764897,2926,0.002926,19200
1759238270163226564,1759238270163229453,2889,0.002889,19300
1759238270226879107,1759238270226882551,3444,0.003444,19400
1759238270299770124,1759238270299773013,2889,0.002889,19500
1759238270358768115,1759238270358771282,3167,0.003167,19600
1759238270424128274,1759238270424131256,2982,0.002982,19700
1759238270487023241,1759238270487026370,3129,0.003129,19800
1759238270546144676,1759238270546147676,3000,0.003000,19900
1759238270627856852,1759238270627860130,3278,0.003278,20000
1759238270696019521,1759238270696022669,3148,0.003148,20100
1759238270790773444,1759238270790776426,2982,0.002982,20200
