recv_timestamp_ns,send_timestamp_ns,processing_ns,processing_ms,sequence
1759240702497963841,1759240702497990544,26703,0.026703,0
1759240702564741672,1759240702564745098,3426,0.003426,100
1759240702628642624,1759240702628645791,3167,0.003167,200
1759240702715180865,1759240702715183939,3074,0.003074,300
1759240702799242245,1759240702799246319,4074,0.004074,400
1759240702853645880,1759240702853653213,7333,0.007333,500
1759240702916083930,1759240702916087542,3612,0.003612,600
1759240702974638069,1759240702974645051,6982,0.006982,700
1759240703038879558,1759240703038882854,3296,0.003296,800
1759240703110141225,1759240703110144633,3408,0.003408,900
1759240703173594291,1759240703173597495,3204,0.003204,1000
1759240703252592171,1759240703252597412,5241,0.005241,1100
1759240703323851356,1759240703323854375,3019,0.003019,1200
1759240703381421036,1759240703381424296,3260,0.003260,1300
1759240703452664555,1759240703452668092,3537,0.003537,1400
1759240703526784379,1759240703526787768,3389,0.003389,1500
1759240703597573344,1759240703597578881,5537,0.005537,1600
1759240703665525875,1759240703665528967,3092,0.003092,1700
1759240703741849987,1759240703741852672,2685,0.002685,1800
1759240703803574911,1759240703803578114,3203,0.003203,1900
1759240703873273935,1759240703873277157,3222,0.003222,2000
1759240703954784010,1759240703954786399,2389,0.002389,2100
1759240704029247869,1759240704029250610,2741,0.002741,2200
1759240704094153041,1759240704094156078,3037,0.003037,2300
1759240704162553441,1759240704162556923,3482,0.003482,2400
1759240704232969094,1759240704232972427,3333,0.003333,2500
1759240704293965373,1759240704293969187,3814,0.003814,2600
1759240704367414458,1759240704367417180,2722,0.002722,2700
1759240704438059035,1759240704438062165,3130,0.003130,2800
1759240704498895889,1759240704498898445,2556,0.002556,2900
1759240704572101513,1759240704572104679,3166,0.003166,3000
1759240704645216285,1759240704645219136,2851,0.002851,3100
1759240704697728187,1759240704697730890,2703,0.002703,3200
1759240704767023047,1759240704767026306,3259,0.003259,3300
1759240704828131955,1759240704828136066,4111,0.004111,3400
1759240704894104105,1759240704894107697,3592,0.003592,3500
1759240704962299006,1759240704962302543,3537,0.003537,3600
1759240705025848201,1759240705025851553,3352,0.003352,3700
1759240705094654860,1759240705094658452,3592,0.003592,3800
1759240705161337341,1759240705161340359,3018,0.003018,3900
1759240705234728631,1759240705234731872,3241,0.003241,4000
1759240705301840258,1759240705301844351,4093,0.004093,4100
1759240705368057537,1759240705368060704,3167,0.003167,4200
1759240705433943651,1759240705433946521,2870,0.002870,4300
1759240705498679194,1759240705498682769,3575,0.003575,4400
1759240705570356324,1759240705570360546,4222,0.004222,4500
1759240705632466525,1759240705632469173,2648,0.002648,4600
1759240705696768293,1759240705696771867,3574,0.003574,4700
1759240705757261000,1759240705757263907,2907,0.002907,4800
1759240705828909907,1759240705828912685,2778,0.002778,4900
1759240705903973636,1759240705903977802,4166,0.004166,5000
1759240705962173647,1759240705962176462,2815,0.002815,5100
1759240706026514137,1759240706026516896,2759,0.002759,5200
1759240706096191867,1759240706096194663,2796,0.002796,5300
1759240706152480441,1759240706152484293,3852,0.003852,5400
1759240706215265011,1759240706215274270,9259,0.009259,5500
1759240706282935211,1759240706282938285,3074,0.003074,5600
1759240706342995939,1759240706342998920,2981,0.002981,5700
1759240706411273637,1759240706411276618,2981,0.002981,5800
1759240706484423354,1759240706484426076,2722,0.002722,5900
1759240706546490871,1759240706546495259,4388,0.004388,6000
1759240706615309455,1759240706615312381,2926,0.002926,6100
1759240706687526176,1759240706687534861,8685,0.008685,6200
1759240706747086961,1759240706747090054,3093,0.003093,6300
1759240706812307596,1759240706812310448,2852,0.002852,6400
1759240706868876206,1759240706868879318,3112,0.003112,6500
1759240706936092649,1759240706936095797,3148,0.003148,6600
1759240707000712101,1759240707000715508,3407,0.003407,6700
1759240707065997569,1759240707066000440,2871,0.002871,6800
1759240707127891735,1759240707127894902,3167,0.003167,6900
1759240707201798395,1759240707201801543,3148,0.003148,7000
1759240707273309711,1759240707273312526,2815,0.002815,7100
1759240707338722401,1759240707338725216,2815,0.002815,7200
1759240707406007844,1759240707406011196,3352,0.003352,7300
1759240707470093187,1759240707470097428,4241,0.004241,7400
1759240707545863451,1759240707545867192,3741,0.003741,7500
1759240707618025080,1759240707618027987,2907,0.002907,7600
1759240707682665921,1759240707682669106,3185,0.003185,7700
1759240707750709139,1759240707750712342,3203,0.003203,7800
1759240707826955993,1759240707826958993,3000,0.003000,7900
1759240707893513365,1759240707893516346,2981,0.002981,8000
1759240707958569649,1759240707958572575,2926,0.002926,8100
1759240708026180053,1759240708026182720,2667,0.002667,8200
1759240708092947684,1759240708092950795,3111,0.003111,8300
1759240708163641355,1759240708163643948,2593,0.002593,8400
1759240708232633570,1759240708232637107,3537,0.003537,8500
1759240708293874831,1759240708293878498,3667,0.003667,8600
1759240708362397585,1759240708362400955,3370,0.003370,8700
1759240708431627169,1759240708431634188,7019,0.007019,8800
1759240708496143437,1759240708496146233,2796,0.002796,8900
1759240708572788550,1759240708572791735,3185,0.003185,9000
1759240708647141968,1759240708647145283,3315,0.003315,9100
1759240708718591822,1759240708718594748,2926,0.002926,9200
1759240708794511956,1759240708794515716,3760,0.003760,9300
1759240708867962174,1759240708867965155,2981,0.002981,9400
1759240708941476854,1759240708941480002,3148,0.003148,9500
1759240709002553430,1759240709002556301,2871,0.002871,9600
1759240709067531141,1759240709067534512,3371,0.003371,9700
1759240709127166242,1759240709127169094,2852,0.002852,9800
1759240709195060054,1759240709195063554,3500,0.003500,9900
1759240709260585115,1759240709260588541,3426,0.003426,10000
1759240709333695390,1759240709333698575,3185,0.003185,10100
1759240709398182343,1759240709398186288,3945,0.003945,10200
1759240709464966418,1759240709464968715,2297,0.002297,10300
1759240709527416027,1759240709527419879,3852,0.003852,10400
1759240709593629604,1759240709593633771,4167,0.004167,10500
1759240709661222899,1759240709661225899,3000,0.003000,10600
1759240709727598346,1759240709727601531,3185,0.003185,10700
1759240709793489683,1759240709793494517,4834,0.004834,10800
1759240709853903466,1759240709853907189,3723,0.003723,10900
1759240709926975185,1759240709926977963,2778,0.002778,11000
1759240709997093767,1759240709997096934,3167,0.003167,11100
1759240710077928088,1759240710077930922,2834,0.002834,11200
1759240710153503429,1759240710153506373,2944,0.002944,11300
1759240710222089183,1759240710222092887,3704,0.003704,11400
1759240710300035052,1759240710300039293,4241,0.004241,11500
1759240710355777815,1759240710355781019,3204,0.003204,11600
1759240710423924552,1759240710423927571,3019,0.003019,11700
1759240710499010006,1759240710499013468,3462,0.003462,11800
1759240710566969466,1759240710566972355,2889,0.002889,11900
1759240710636873567,1759240710636877123,3556,0.003556,12000
